component	chapter	code	kind	preferred	description	inclusions	exclusions	depth
D	A	AD23	infection	Sepsis	Sepsis as a life-threatening organ dysfunction caused by a dysregulated host response to infection.	urosepsis	puerperal infection or sepsis WD01;sepsis with shock AS52	0
D	A	AD24	infection	Other specified and unknown infectious diseases		brucellosis;Buruli ulcer;leptospirosis;mycoplasma;non-intestinal helminthiases;ornithosis;Q fever;rickettsial disease;toxoplasmosis;unknown infectious disease	meningococcal meningitis ND02;other infection complicating pregnancy/puerperium WD02;perinatal morbidity AD66;puerperal infection/sepsis WD01;viral exanthem, otherwise specified AD13;viral disease, otherwise specified AD14	0
D	A	AD24.00	infection	African trypanosomiasis	A disease caused by an infection with the protozoan parasite Trypanosoma brucei. This disease presents with symptoms depending on the form of the protozoan parasite (Trypanosoma brucei rhodesiense or Trypanosoma brucei gambiense). Transmission is through the bite of an infected tsetse fly. Confirmation is by identification of Trypanosoma brucei in a blood or tissue sample.			1
D	A	AD24.01	infection	Chagas disease (South American trypanosomiasis)	A disease caused by an infection with the protozoan parasite Trypanosoma cruzi. This disease is characterised by fever, headache, lymphadenopathy, pallor, muscle pain, dyspnoea, swelling, or abdominal or chest pain. This disease may also be asymptomatic. Transmission is by direct contact with faeces from an infected triatomine bug, vertical transmission, iatrogenic transmission, or ingestion of contaminated food or water. Confirmation is by identification of Trypanosoma cruzi in a blood sample.			1
D	A	AD24.02	infection	Filariasis	infections with nematodes of the superfamily Filarioidea; presence of living worms in the body is mainly asymptomatic but the death of adult worms leads to granulomatous inflammation and permanent fibrosis; organisms of the genus Elaeophora infect wild elk and domestic sheep causing ischaemic necrosis of the brain, blindness, and dermatosis of the face.			1
D	A	AD24.03	infection	Infection caused by Onchocerca volvulus	Any condition caused by an infection with the parasitic worm Onchocerca volvulus. These conditions are characterised by the presence of firm subcutaneous nodules filled with adult worms, pruritus, long-term corneal inflammation (keratitis), or thickening of the corneal stroma. If untreated, these infections will lead to blindness. Transmission is through the bite of an infected Simulium fly.			1
D	A	AD24.05	infection	Lyme disease	A tick-borne infection by the spirochaete Borrelia burgdorferi, Lyme borreliosis typically presents with a characteristic rash, erythema chronicum migrans, at an average of seven days after a bite from an infected tick. The rash may be accompanied by flu-like symptoms. Disseminated infection may cause meningitis, cranial neuropathies and carditis amongst other manifestations. Late disease, months to years after initial infection, may present with a pauciarticular arthritis or with encephalomyelitis.			1
D	A	AD24.06	infection	Leprosy (Hansen's disease)	A disease caused by an infection with Mycobacterium leprae. This disease commonly presents with a long asymptomatic period followed by granulomatous lesions of the skin, respiratory tract, and peripheral nerves. Transmission is commonly by droplet transmission. Confirmation is by identification of Mycobacterium leprae with skin biopsy.	leprosy sequelae		1
D	A	AD24.07	infection	Loiasis	A disease caused by an infection with the parasitic worm Loa loa. This disease is characterised by Calabar swellings found anywhere on the body (commonly found near joints). This disease may also present with generalised itching, muscle pain, joint pain, fatigue or may be asymptomatic. Transmission is through the bite of an infected fly (genus Chrysops). Confirmation is by identification of adult Loa loa in the skin or eye, Loa loa microfilariae in a blood sample obtained in the day (1000 - 1400), or detection of antibodies against Loa loa in a blood sample.			1
D	A	AD24.08	infection	Lymphatic filariasis	Infestation by filarial nematodes of the genera Wuchereria and Brugii. It is acquired via transcutaneous injection of larvae by mosquitoes previously infested with microfilariae from the blood of a human host. The adult worms live in the lymphatics but release microfilariae into the bloodstream to complete the life cycle of the parasite. Clinical disease occurs in only a minority of those infected. In the acute stage this may present as an acute painful adenolymphangitis with fever. Chronic infestation causes progressive obstruction of lymphatic vessels and can result in disfiguring lymphoedema (elephantiasis), particularly of the genitalia and lower extremities.			1
D	A	AD24.09	infection	Scarlet fever	A disease caused by an infection with the gram-positive bacteria Streptococcus pyogenes. This disease is characterised by a sore throat, fever, and a red rash. Transmission is commonly by inhalation of infected respiratory secretions, direct skin contact, or indirect contact.			1
D	A	AD25	neoplasm	Malignancy	Histological evidence of malignancy.	carcinomatosis when primary site is unknown;secondary or metastatic neoplasm when primary site is unknown		0
D	A	AD26	neoplasm	Other specified benign, uncertain or in situ neoplasms				0
D	A	AD35	trauma	Multiple trauma and injuries		multiple internal injuries		0
D	A	AD36	trauma	Other specified and unknown trauma and injury		road traffic accident	fall of unknown origin AS14;late effect of trauma AD37;multiple trauma AD35	0
D	A	AD37	trauma	Secondary effect of trauma		deformity resulting from previous injury;old amputation	post-traumatic stress disorder PD09;psychological effects of trauma/acute stress reaction PS02;scar of skin SD99;wound infection SD07	0
D	A	AD40	trauma	Poisoning by medical agent	Toxicity or impairment produced by accidental or deliberate overdose of an agent which has remedial properties in its usual dosage.	toxic effect overdose of medical agent	insulin coma TD70;medication abuse PS15;suicide or suicide attempt PD14	0
D	A	AD41	trauma	Adverse effect of medical agent	An adverse effect of a medical agent is an undesired harmful effect resulting from a medication. An adverse effect may be termed a side effect, when judged to be secondary to a main or therapeutic effect.	side effect due to medication in proper dose	analgesic nephropathy UD65;contact dermatitis SD70;insulin coma TD70;medication abuse PS15;poisoning by medical agent AD40;reaction to immunisation/transfusion AD42	0
D	A	AD41.00	trauma	Drug allergy		anaphylaxis due to medication in proper dose		1
D	A	AD41.01	trauma	Drug induced headache				1
D	A	AD41.02	trauma	Spotting using hormonal contraception				1
D	A	AD42	trauma	Complication of medical treatment	An unexpected and undesired effect resulting from surgical or medical or X-ray treatment or other medical management.	immunisation or transfusion reaction;post-surgical lymphoedema;post-operative infection or haemorrhage or wound disruption;problems due to radiation for diagnosis or treatment	adverse effects of medication AD41;dumping syndrome DD99;hypoglycaemia TD70;poisoning by medical agent AD40;post gastric surgery syndromes DD99;post surgical malabsorption DD99	0
D	A	AD42.00	trauma	Adverse effect of vaccination				1
D	A	AD42.01	trauma	Dehiscence episiotomy				1
D	A	AD43	trauma	Side-effect of prosthetic device	Discomfort or impairment or pain or limitation resulting from the fitting or wearing of a device for supplying or amending deficiencies.	side-effect of catheter;side-effect of colostomy;side-effect of gastrostomy;side-effect of heart valve;side-effect of joint replacement;side-effect of organ transplant;side-effect of pacemaker	effect denture/false teeth (prosthetic device) DS19	0
D	A	AD44	trauma	Toxic effect of non-medicinal substance	The nature and effects of chemical (non-medicinal substance), physical or biological poisons on living organisms.	bee sting;general or local toxic effect of carbon monoxide;general or local toxic effect of industrial materials;general or local toxic effect of lead;general or local toxic effect of poisonous animals or insects or plants or snakes;wasp sting	adverse effect medical agent AD41;chronic or acute alcohol abuse (acute alcohol abuse) PS13;chronic or acute alcohol abuse (chronic alcohol abuse) PS12;contact dermatitis SD70;drug abuse PS16;external chemical burns SD41;medication abuse PS15;non-toxic bites/sting insect SD39;non-toxic bites animal/human SD40;poisoning by medical agent AD40;respiratory toxic effects RD99;tobacco abuse PS14	0
D	A	AD44.00	trauma	Poisoning caused by venomous snake				1
D	A	AD45	trauma	Adverse effect of physical factor		adverse effect of cold or lightning or pressure;drowning;hypothermia;jet lag	burn due to radiation SD41;effect of alcohol (chronic alcohol abuse) PS12;effect of alcohol (acute alcohol abuse) PS13;effect of medical radiation AD42;effect of tobacco PS14;snow blindness FD36;sunburn SD66	0
D	A	AD45.00	trauma	Chilblains (perniones)	Chilblains are the result of cold-induced damage principally to the microvasculature of acral skin in susceptible individuals. They are commonest in the winter months in cold, damp climates. They present as itchy or painful red-purple macules, papules or plaques, most commonly affecting the fingers and toes, though other body extremities including the heels, nose and ears can be involved. Because of insulation from core body temperature, other areas, especially the lateral thighs, may be involved in areas where there is a thick layer of subcutaneous fat.			1
D	A	AD45.01	trauma	Heat stroke and sunstroke	Elevation of core body temperature above 40.6 degrees centigrade due to environmental heat exposure and a failure of thermoregulation. This is a potentially fatal disorder, particularly in infants and children.			1
D	A	AD45.02	trauma	Motion sickness	Disorder caused by motion. It includes sea sickness, train sickness, roller coaster rides, rocking chair, hammock swing, car sickness, air sickness, or space motion sickness. Symptoms include nausea, vomiting and/or dizziness.			1
D	A	AD46	trauma	Other specified and unknown allergy or allergic reaction	Allergy is a hypersensitivity reaction initiated by a proven immunologic mechanism.	allergic oedema;allergy to eggs;food allergy;allergy to peanuts;unknown allergy;unknown allergic reaction	allergic rhinitis RD65;allergy resulting from medication AD41;food intolerance DD99;urticaria SD78	0
D	A	AD46.00	trauma	Anaphylactic shock	Anaphylaxis is a severe, life-threatening systemic hypersensitivity reaction characterised by being rapid in onset with potentially life-threatening airway, breathing, or circulatory problems and is usually, although not always, associated with skin and mucosal changes.			1
D	A	AD46.01	trauma	Angioneurotic oedema	Swelling involving the deep dermis, subcutaneous, or submucosal tissues, representing localized edema. Angioedema often occurs in the face, lips, tongue, and larynx.			1
D	A	AD46.02	trauma	Cow's milk protein allergy	Allergic reaction to milk (usually cow's milk) or milk products. Milk hypersensivity should be differentiated from lactose intolerance, an intolerance to milk as a result of congenital deficiency of lactase.		lactose intolerance TD99.05	1
D	A	AD55	congenital	Congenital anomaly, other specified or unknown		chromosome abnormality (Down's syndrome, Marfan's syndrome) and systemic congenital anomalies, not otherwise specified;congenital syphilis;unknown congenital anomaly		0
D	A	AD55.00	congenital	Complete trisomy 21 syndrome (Down syndrome)	Trisomy 21 is a chromosomal abnormality, characterised by the presence of a third (partial or total) copy of chromosome 21, which clinical manifestations include variable intellectual deficiency, muscular hypotonia and joint laxity, often associated with facial dysmorphism and variable malformations (essentially heart and digestive) and a risk of complications (epilepsy, leukemia, auto-immune and endocrine pathologies, earlier aging and Alzheimer disease.			1
D	A	AD65	otherDiagnosis	Premature newborn	Preterm: less than 37 weeks or 259 days gestation.			0
D	A	AD66	otherDiagnosis	Other specified and unknown perinatal morbidity	Morbidity originating in utero or within 7 days of birth.	neonatal sepsis;floppy infant;unknown perinatal morbidity;congenital pneumonia;congenital rubella	congenital condition AD55;congenital hydrocephalus ND55;failure to thrive TS08;premature newborn AD65	0
D	A	AD95	otherDiagnosis	Perinatal mortality	Death in utero or within 7 days of birth.	perinatal and neonatal death		0
D	A	AD95.00	otherDiagnosis	Newborn death				1
D	A	AD95.01	otherDiagnosis	Undelivered in utero foetal death				1
D	A	AD96	otherDiagnosis	Death		natural death AD96.00;unnatural death AD96.01	perinatal mortality AD95	0
D	A	AD96.00	otherDiagnosis	Natural death				1
D	A	AD96.01	otherDiagnosis	Unnatural death				1
D	A	AD99	otherDiagnosis	Other specified or unknown general diseases or conditions of unspecified site		acquired absence of organs;multi-organ failure		0
S	A	AS01	symptom	General pain in multiple sites	Pain is an unpleasant sensory and emotional experience associated with actual or potential tissue damage, or described in terms of such damage. Often, pain serves as a symptom warning of a medical condition or injury. In these cases, treatment of the underlying medical condition is crucial and may resolve the pain. However, pain may persist despite successful management of the condition that initially caused it, or because the underlying medical condition cannot be treated successfully. Chronic pain is pain that persists or recurs for longer than 3 months.		chronic widespread pain (fibromyalgia) LS18	0
S	A	AS02	symptom	Chills	The sudden sensation of being cold. It may be accompanied by shivering.	rigors;shivers	fever AS03	0
S	A	AS03	symptom	Fever	A rise of body temperature above normal.	pyrexia	heat exhaustion/stroke AD45;viral exanthem with fever AD13	0
S	A	AS04	symptom	General weakness or tiredness	A  sense of decrease in power and energy.	asthenia;exhaustion;fatigue;lassitude;lethargy	chronic fatigue syndrome AS05.00;drowsiness AS99;heat exhaustion AD45;jetlag AD45;malaise/feeling ill AS06;postviral fatigue AS05;sleep disturbance PS06	0
S	A	AS05	symptom	Postviral fatigue	Postviral fatigue is characterised by persistent or recurrent fatigue, diffuse musculoskeletal pain, sleep disturbances, and subjective cognitive impairment of 6 months duration or longer. Symptoms are not caused by ongoing exertion; are not relieved by rest; and result in a substantial reduction of previous levels of occupational, educational, social or personal activities. Minor alterations of immune, neuroendocrine, and autonomic function may be associated with postviral fatigue.		weakness/tiredness, general AS04	0
S	A	AS05.00	symptom	Chronic fatigue syndrome	Chronic fatigue syndrome: considerable cultural variations occur in the presentation of this problem, and two main types occur, with substantial overlap. In one type, the main feature is a complaint of increased fatigue after mental effort, often associated with some decrease in occupational performance or coping efficiency in daily tasks. The mental fatiguability is typically described as an unpleasant intrusion of distracting associations or recollections, difficulty in concentrating, and generally inefficient thinking. In the other type, the emphasis is on feelings of bodily or physical weakness and exhaustion after only minimal effort, accompanied by a feeling of muscular aches and pains and inability to relax. In both types a variety of other unpleasant physical feelings is common, such as dizziness, tension headaches, and feelings of general instability. Worry about decreasing mental and bodily well-being, irritability, anhedonia, and varying minor degrees of both depression and anxiety are all common. Sleep is often disturbed in its initial and middle phases but hypersomnia may also be prominent.			1
S	A	AS06	symptom	Feeling ill	Not in good health.	malaise	cachexia TS07;feeling old PS22;malnutrition TD74	0
S	A	AS07	symptom	Fainting	A transient loss of consciousness and postural tone caused by diminished blood flow to the brain.	blackout;collapse;vasovagal attack	coma AS53;feeling faint/giddiness/dizziness NS09	0
S	A	AS08	category	Frailty	Frailty is a personal state that can be reversed, characterised by an increase of vulnerability to internal and external stressors or factors, such as loss of intrinsic capacity.	decline of intrinsic capacity		0
S	A	AS09	symptom	Swelling and generalized edema		lump, mass not specified to a location	enlarged lymph gland BS01;oedema KS04;swelling breast (breast lump/mass female) GS26;swelling joint LS20	0
S	A	AS10	symptom	Sweating problem		diffuse hyperhydrosis;perspiration problem	sweat gland disease SD73	0
S	A	AS10.00	symptom	Localised hyperhidrosis	Excessive sweating in specific and localised body sites.			1
S	A	AS10.01	symptom	Night sweats				1
S	A	AS11	symptom	Bleeding			ecchymosis SD35	0
S	A	AS12	symptom	Chest pain			pain attributed to chest wall LS04;pain attributed to heart KS01;pain attributed to respiratory system RS01	0
S	A	AS13	symptom	Irritable infant		excessively crying infant;restless infant	infantile colic DS01;restless child/adult PS04	0
S	A	AS14	symptom	Fall of unknown origin				0
S	A	AS50	clinicalFinding	Other specified abnormal result investigation		abnormal unexplained hyperglycaemia;abnormal unexplained pathology or imaging results;abnormal thyroid stimulating hormone (TSH) results;uraemia	abnormal cervix smear GS50;abnormal urine test US50;raised erythrocyte  sedimentation rate BS52;unexplained abnormal white cells BS51;vitamin/nutritional deficiency TD73	0
S	A	AS50.00	clinicalFinding	Elevated blood glucose level				1
S	A	AS50.01	clinicalFinding	Subclinical hypothyroidism				1
S	A	AS50.02	clinicalFinding	Subclinical hyperthyroidism				1
S	A	AS52	clinicalFinding	Shock	Shock is a life-threatening medical condition. The circulatory system fails to maintain adequate blood flow, sharply curtailing the delivery of oxygen and nutrients to vital organs.	cardiogenic shock;septic shock;toxic shock syndrome	anaphylacted shock AD46;traumatic shock AD37	0
S	A	AS53	clinicalFinding	Coma	A prolonged state of deep unconsciousness, often caused by severe injury or illness.	stupor	nondiabetic hypoglycaemic coma TD70;post-traumatic coma ND36;syncope AS07;type 1 diabetic coma TD71;type 2 diabetic coma TD72;uremic coma UD99	0
S	A	AS90	complaint	Concern or fear of disease	Concern about or fear of disease in a patient without the disease/until the diagnosis is proven.	fear of death;fear of dying		0
S	A	AS91	complaint	Concern or fear of medical treatment		concern about or fear of the consequences of a drug or medical treatment	adverse effect of drug AD41;complication of medical/surgical treatment AD42	0
S	A	AS92	complaint	Concern about appearance		concerns about height;concerns about size;concerns about weight	concern about appearance during pregnancy WS99.02;concern about appearance of breasts GS90;concern about appearance of ears HS91;prominent nose RS91	0
S	A	AS99	symptom	Other specified general symptoms, complaints and abnormal findings		clumsiness;drowsiness;drowsy		0
S	A	AS99.00	symptom	Cold extremities				1
D	B	BD01	infection	Lymphadenitis acute	One or more inflamed or enlarged and tender or painful lymph nodes in the same anatomical location, of recent onset (less than 6 weeks)	abscess of lymph node		0
D	B	BD02	infection	Other specified or unknown lymphadenitis	Enlarged tender lymph nodes present for more than 6 weeks; or demonstration of enlarged inflamed mesenteric lymph nodes by surgery or sonography or lymphography or otherwise.	mesenteric lymphadenitis;unknown lymphadenitis	acute lymphadenitis BD01;acute lymphangitis SD16	0
D	B	BD03	infection	Asymptomatic HIV-infection	Asymptomatic HIV infection confirmed by laboratory criteria according to country definitions and requirements.			0
D	B	BD04	infection	Symptomatic HIV-infection/AIDS	HIV infection and symptomatic clinical stage including severe or stage 4 clinical disease, also known as AIDS confirmed by laboratory criteria according to country definitions and requirements.			0
D	B	BD25	neoplasm	Malignant neoplasm of blood, blood-forming organs and immune system	Characteristic histological appearance.			0
D	B	BD25.00	neoplasm	Hodgkin lymphoma	Malignant lymphomas, previously known as Hodgkin's disease, characterised by the presence of large tumour cells in an abundant admixture of nonneoplastic cells. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma involves primarily lymph nodes.			1
D	B	BD25.01	neoplasm	Malignant lymphoma, other classified			Burkitt lymphoma BD25.04	1
D	B	BD25.02	neoplasm	Leukaemia				1
D	B	BD25.03	neoplasm	Plasma cell myeloma	Plasma cells, usually secreting monoclonal immunoglobulin (M-protein) and/or immunoglobulin light chains.			1
D	B	BD25.04	neoplasm	Burkitt lymphoma	A highly aggressive lymphoma composed of monomorphic medium-sized B-cells with basophilic cytoplasm and numerous mitotic figures. It is often associated with the presence of Epstein-Barr virus (EBV) and is commonly seen in AIDS patients. Three morphologic variants are recognised: classical Burkitt lymphoma, Burkitt lymphoma with plasmacytoid differentiation, and atypical Burkitt/Burkitt-like lymphoma. All cases express the MYC translocation [t(8;14)].			1
D	B	BD26	neoplasm	Benign, uncertain or in-situ neoplasm of blood, blood-forming organs and immune system	Characteristic histological appearance.	benign neoplasm of blood;neoplasm of blood not specified as benign or malignant;polycythaemia rubra vera	malignant neoplasm blood, blood-forming organs and immune system BD25	0
D	B	BD35	trauma	Injury of blood, blood-forming organs and immune system	Lesion due to trauma related to blood, blood-forming organs or immune system.			0
D	B	BD35.00	trauma	Traumatic ruptured spleen				1
D	B	BD55	congenital	Congenital anomaly of blood, blood-forming organs and immune system	A disease or condition caused by determinants arising in the antenatal period.	congenital anaemia	haemangioma/lymphangioma SD28;haemophilia BD78;hereditary haemolytic anaemia BD65	0
D	B	BD65	congenital	Hereditary haemolytic anaemia	A disease caused by a genetically inherited mutation.	spherocytosis	congenital blood, blood-forming organs, and immune system BD55	0
D	B	BD65.00	congenital	Haemolytic anaemia due to glucose-6-phosphate dehydrogenase deficiency	Glucose-6-phosphate dehydrogenase (G6PD) deficiency is the most common hereditary erythrocyte enzyme deficiency that can manifest with severe neonatal jaundice which can lead to serious neurological consequences, or, most often, with acute haemolytic anaemia following ingestion of certain foods (fava beans), common drugs (some antimalaria drugs, sulphamides, analgesics), or in the course of an infection, in otherwise asymptomatic individuals.			1
D	B	BD65.01	congenital	Sickle cell disorders or other haemoglobinopathies	Any disorder caused by a HbS mutation in the haemoglobin gene. This disorder is characterised by abnormal rigid sickle-shaped red blood cells decreasing its ability to carry oxygen. This disorder may present with fatigue, shortness of breath, dizziness, headaches, pallor of skin or mucous membranes, and jaundice. This disorder is confirmed by identification of HbS mutation by genetic testing.	sickle cell anaemia		1
D	B	BD65.02	congenital	Thalassaemias	A disease caused by genetically inherited autosomal recessive mutations leading to abnormal production of haemoglobin. This disease is characterised by destruction of red blood cells leading to anaemia and abnormal production of haemoglobin. This disease may present with pallor, jaundice, iron overload, fatigue, or shortness of breath. Confirmation is by identification of mutations through genetic testing.			1
