# Device metrics no LOINC code fits, grouped by the reason, because the reason decides what to do.
#
# Reasons:
#   ALGO_MISMATCH      LOINC has the concept but codes another algorithm (HRV: SDNN only, five vendors publish RMSSD)
#   VENDOR_SCORE       a proprietary score; LOINC does not code these and never will
#   NO_CONCEPT         the concept is absent from the axis table
#   UNIT_INCOMPARABLE  a near code exists but the vendor's unit or weighting makes the number incomparable
#   RELATIVE           a deviation from a baseline, not an absolute quantity
#   NOT_MEASUREMENT    a goal, a recommendation or a plan
#   QUALITY_META       a data-quality or device-state signal; worth keeping beside the reading, not as one
#   NOT_PERSON         an environmental quantity
#   OUT_OF_SCOPE       raw waveforms, location, nutrition: outside this catalogue
#
# Columns: reason, metric (the quantity as vendors name it), vendors (who publishes it, with
# their field names), detail (the evidence), disposition (what the catalogue does).
# Read 2026-09-09 against LOINC 2.83; the notes were translated from Chinese in 1.5.1.
reason	metric	vendors	detail	disposition
NO_CONCEPT	OSA risk grade	Huawei obstructive_sleep_apnea:osaLevel(1 normal / 2 low / 3 medium / 4 high risk)	`28633-6 Polysomnography study` is a Doc-scale document code, not a graded result	—
NO_CONCEPT	respiratory rate median / percentile	Huawei ventilator:clinicalRespRateMedian+clinicalRespRate95	LOINC has mean, min and max only	—
NO_CONCEPT	electrodermal activity	Apple electrodermalActivity	0 hits	—
NO_CONCEPT	muscle mass	OW skeletal_muscle_mass / Samsung BodyCompositionType / body-fat scale	The axis table has 0 hits for `Skeletal muscle mass` (while body water and bone mass from the same batch are coded)	The catalogue's `bodySkeletalMuscleMass` is left blank
NO_CONCEPT	Apple stand hours / Huawei active hours	Apple appleStandHour / Huawei active_hours:activeHours	See the UNIT_INCOMPARABLE row: this is a count, not a duration	—
NO_CONCEPT	Apple Move time	Apple appleMoveTime	0 hits	—
NO_CONCEPT	ambient sound / daylight	Apple environmentalAudioExposure+headphoneAudioExposure+environmentalSoundReduction+timeInDaylight	0 hits	see NOT_PERSON
NO_CONCEPT	the five running-dynamics quantities	Apple runningStrideLength+runningGroundContactTime+runningVerticalOscillation+runningSpeed+runningPower	0 hits	The OW note says "running dynamics are not in the catalogue yet"
NO_CONCEPT	swimming / wheelchair / diving	Apple swimmingStrokeCount+distanceSwimming+pushCount+distanceWheelchair+underwaterDepth / HC WheelchairPushesRecord / Samsung StrokeType	0 hits	—
UNIT_INCOMPARABLE	Active Zone Minutes	Fitbit value.activeZoneMinutes+fatBurn+cardio+peak	The documentation says "1 cardio minute = 2 cardio active zone minutes", and peak is doubled too: a weighted score, not a count of minutes	Undo the weighting before carrying any LOINC duration code, or the duration is inflated. Better to carry no code
UNIT_INCOMPARABLE	Intensity Minutes	Garmin Intensity Minutes	As above, moderate-to-vigorous is weighted double (confirming the weighting at field level needs developer approval of the documentation)	as above
UNIT_INCOMPARABLE	active hours / stand hours	Huawei active_hours:isActive+activeHours (a count of hours completed) / Apple appleStandHour	`112425-4 Standing time 1 day` is a duration (Time/1D). A count and a duration differ in PROPERTY	No code. vivo `STANDING(3)` is in hours (a duration) and can carry 112425-4
UNIT_INCOMPARABLE	heart-rate zone durations	five zones here / Fitbit four (Out of Range, Fat Burn, Cardio, Peak) / WHOOP zone_durations five / Huawei hrZone1-5Time	LOINC has three zones (101693-0 light / 101694-8 moderate / 101695-5 intense) plus 103207-7 for the peak zone. No vendor's bands line up	No code. The only quantity comparable across vendors is total moderate-to-vigorous time
UNIT_INCOMPARABLE	Huawei moderate-to-vigorous	Huawei continuous.exercise_intensity.v2:exercise_type	The field is an enum of exercise kinds (1 walk / 2 run / 3 cycle / 4 training / 5 heart rate (no real meaning) / 6 climb / 7 swim), not an intensity band, which is a different dimension from LOINC's light/moderate/vigorous	This type takes no part in intensity mapping; only `totalIntensity` (minutes) under its statistics may carry 101691-4 (unverified)
UNIT_INCOMPARABLE	duration split by exercise kind	Huawei exercise_intensity.v2.statistics:intensity_map	Map<exercise_type, minutes>. LOINC has no duration code split by exercise kind	—
UNIT_INCOMPARABLE	Oura total_calories	Oura daily_activity.total_calories	Total energy is basal plus active, a different quantity from 41979-6 (active); sharing one code would collide	Only active_calories gets a code
RELATIVE	skin temperature deviation from baseline	Fitbit tempSkin.value.nightlyRelative / Oura daily_readiness.temperature_deviation / HC SkinTemperatureRecord.deltas / the catalogue's temperatureDelta	LOINC has no code for a deviation from baseline. Careful: never carry 61008-9 or 8310-5, which are absolute temperatures	Keep in `temperatureDelta`, no code. Only the absolute values from the same sources (WHOOP skin_temp_celsius, the HC baseline) carry 61008-9
RELATIVE	trend of the temperature deviation	Oura temperature_trend_deviation	The trend of a deviation is a second-order quantity	—
RELATIVE	HRV balance, sleep balance and the like	Oura daily_readiness.contributors.hrv_balance and eight siblings	a ratio against a 28-day rolling mean	—
NOT_MEASUREMENT	the four daily-activity targets	Huawei daily_activity_summary:stepsGoal+activeCaloriesGoal+exerciseTimeGoal+activeHoursGoal / Samsung six *GoalType / Oura daily_activity.target_calories+target_meters+meters_to_target	A target is not a measurement	None of them get a code
NOT_MEASUREMENT	sleep need	WHOOP sleep_needed.baseline_milli+need_from_sleep_debt+need_from_recent_strain+need_from_recent_nap	a recommendation	—
NOT_MEASUREMENT	optimal bedtime window	Oura sleep_time.optimal_bedtime+recommendation	a recommendation	—
NOT_MEASUREMENT	training plan	HC PlannedExerciseSessionRecord	a plan	—
NOT_MEASUREMENT	profile maximum heart rate	WHOOP user.measurement.body.max_heart_rate	This is the profile ceiling, not the day's measured maximum; it means something different from cycle.score.max_heart_rate, so do not share 101692-2	The catalogue is right to keep `maxHeartRateProfile` in its own column
QUALITY_META	sleep log quality code	Fitbit sleep.infoCode (0 sufficient / 1 not enough heart-rate data / 2 sleep shorter than 3 hours / 3 server-side problem)	This is data trustworthiness directly	Carry it beside the reading as metadata
QUALITY_META	temperature sensor type	Fitbit tempSkin.logType (dedicated_temp_sensor / other_sensors)	dedicated sensor vs inferred	as above
QUALITY_META	score state / calibrating	WHOOP score_state + recovery.score.user_calibrating	Any value other than SCORED means the reading cannot be trusted	as above
QUALITY_META	heart-rate data completeness	WHOOP workout.score.percent_recorded	a percentage	as above
QUALITY_META	no-data duration	WHOOP stage_summary.total_no_data_time_milli	Its ratio to in_bed is how far that night can be trusted	as above
QUALITY_META	non-wear duration	Oura daily_activity.non_wear_time	Its ratio to 24h is how far that day can be trusted	as above
QUALITY_META	mask-off count	Huawei ventilator:maskOff	ventilator data validity	as above
QUALITY_META	sleep type routing key	Huawei health.record.sleep:sleep_type (1 scientific sleep, all fields / 2 ordinary sleep, no REM / 3 scattered nap, total duration only) / Fitbit sleep.levels classic vs stages / Oura sleep.type, five values	The most dangerous row: without routing by type, "this type does not provide that field" is read as 0	Route by type before carrying any stage code, (see docs/device-crosswalk.md)
QUALITY_META	device state	Oura ring_battery_level+ring_configuration / Zepp Battery+Wear	not health data	Out of the indicator catalogue
NOT_PERSON	water temperature / air temperature / humidity	Apple waterTemperature / OW weather_temperature+weather_humidity+air_temperature / Zepp Weather	not a quantity of the body	Out of the indicator catalogue
NOT_PERSON	ambient sound exposure / headphone sound exposure	Apple environmentalAudioExposure+headphoneAudioExposure	Neither coded nor a physiological quantity	—
NOT_PERSON	daylight duration / UV	Apple timeInDaylight+uvExposure	`uvExposures` has a catalogue member but no code	—
NOT_PERSON	barometric pressure / ambient altitude	Zepp Barometer / HC (derived)	Elevation gained (101687-2) is the quantity of the body	—
OUT_OF_SCOPE	raw ECG waveform	Huawei continuous.ecg_detail + health.record.ecg / Fitbit electrocardiogram / Samsung (Health Monitor) / Xiaomi HyperOS scope 12005	Coding these goes through the dedicated EKG.MEAS axes, which is not this catalogue's kind of quantity	its own pass
OUT_OF_SCOPE	ventilator engineering quantities	Huawei sleep_respiratory_detail:type=1 leak/2 IPAP/3 EPAP + ventilator:sysMode+pressureBelow95+lumisTidvol*+lumisIeratio*	These belong to the IEEE 11073 table (MDC_VENT_* / MDC_PRESS_AWAY_*, e.g. LOINC 60951-1 / 35410-0 / 38199-6), one of the two things that table is actually good for here	Handle it separately when a ventilator is wired up
OUT_OF_SCOPE	location and track	Apple (workout route) / HC ExerciseLocation / Xiaomi location.sample+location.track / Zepp Geolocation	The OW note says "location is not health data and is not standardised here"	Out of the indicator catalogue
OUT_OF_SCOPE	nutrients and water	Apple 39 dietary* fields / HC NutritionRecord+HydrationRecord / Samsung NutritionType+WaterIntakeType+MealType / Huawei diet records	LOINC codes some dietary intake, but on the IO_IN_SALTS+CALS axes, which is not the wearable quantity	its own pass
OUT_OF_SCOPE	menstrual cycle	HC 6 reproductive-health Records / Samsung 16 / Huawei menstrual cycle / Amazfit open API: menstruation	LOINC has a code family for this; the catalogue has no member	its own pass
OUT_OF_SCOPE	exercise kind enum	Apple HKWorkoutActivityType / HC ExerciseSessionRecord.exerciseType(80+) / Samsung PredefinedExerciseType(several hundred) / Huawei 34 workout kinds	A classification, not a measurement; mapping across vendors needs its own exercise-kind table	its own pass
OUT_OF_SCOPE	mindful minutes	Apple mindfulSession / HC MindfulnessSessionRecord	`100280-7` is the FFMQ questionnaire panel, not a duration code	—
